Date,Fed_Rate,US_CPI,US_PMI,US_VIX,US_M2
2020-04-30,0.050000,0.313047,93.483700,34.150002,17039.100000
2020-05-31,0.050000,0.198201,94.922800,27.510000,17886.400000
2020-06-30,0.080000,0.716656,96.592990,30.430000,18173.500000
2020-07-31,0.090000,0.996865,97.981950,24.459999,18330.100000
2020-08-31,0.100000,1.281070,98.588770,26.410000,18396.300000
2020-09-30,0.090000,1.391023,98.858500,26.370001,18628.800000
2020-10-31,0.090000,1.230386,99.188310,38.020000,18783.400000
2020-11-30,0.090000,1.175745,99.546370,20.570000,19012.100000
2020-12-31,0.090000,1.320419,99.921590,22.750000,19165.900000
2021-01-31,0.090000,1.373844,100.257900,33.090000,19392.500000
2021-02-28,0.080000,1.669817,100.593500,27.950001,19628.200000
2021-03-31,0.070000,2.667819,100.886300,19.400000,19852.200000
2021-04-30,0.070000,4.133077,101.131000,18.610001,20189.000000
2021-05-31,0.060000,4.918257,101.203700,16.760000,20457.000000
2021-06-30,0.080000,5.295633,101.211300,15.830000,20499.200000
2021-07-31,0.100000,5.245169,101.168800,18.240000,20654.400000
2021-08-31,0.090000,5.152015,101.106400,16.480000,20837.000000
2021-09-30,0.080000,5.351216,101.054900,23.139999,21004.600000
2021-10-31,0.080000,6.235042,101.018300,16.260000,21168.000000
2021-11-30,0.080000,6.901970,100.987400,27.190001,21337.900000
2021-12-31,0.080000,7.174340,100.941500,17.219999,21494.000000
2022-01-31,0.080000,7.558806,100.864700,24.830000,21614.000000
2022-02-28,0.080000,7.937279,100.750400,30.150000,21712.700000
2022-03-31,0.200000,8.572205,100.585300,20.559999,21749.800000
2022-04-30,0.330000,8.231751,100.368000,33.400002,21780.300000
2022-05-31,0.770000,8.538171,100.101600,26.190001,21723.200000
2022-06-30,1.210000,8.979361,99.823590,28.709999,21676.800000
2022-07-31,1.680000,8.462577,99.578640,21.330000,21676.500000
2022-08-31,2.330000,8.222579,99.384330,25.870001,21644.000000
2022-09-30,2.560000,8.192107,99.228390,31.620001,21560.600000
2022-10-31,3.080000,7.758814,99.101650,25.879999,21465.800000
2022-11-30,3.780000,7.122856,99.003540,20.580000,21408.600000
2022-12-31,4.100000,6.404600,98.946330,21.670000,21266.400000
2023-01-31,4.330000,6.327179,98.929890,19.400000,21249.400000
2023-02-28,4.570000,5.957821,98.934140,20.700001,21226.900000
2023-03-31,4.650000,4.917719,98.959520,18.700001,20917.400000
2023-04-30,4.830000,4.950080,99.020010,15.780000,20770.400000
2023-05-31,5.060000,4.131851,99.112960,17.940001,20840.800000
2023-06-30,5.080000,3.070617,99.227500,13.590000,20823.800000
2023-07-31,5.120000,3.287749,99.335070,13.630000,20815.500000
2023-08-31,5.330000,3.722505,99.420460,13.570000,20792.500000
2023-09-30,5.330000,3.687207,99.482350,17.520000,20771.800000
2023-10-31,5.330000,3.251266,99.534350,18.139999,20737.100000
2023-11-30,5.330000,3.133346,99.608590,12.920000,20743.400000
2023-12-31,5.330000,3.315910,99.717880,12.450000,20745.100000
2024-01-31,5.330000,3.088343,99.854110,14.350000,20815.300000
2024-02-29,5.330000,3.157074,99.854110,13.400000,20903.000000
2024-03-31,5.330000,3.486835,99.854110,13.010000,20943.800000
2024-04-30,5.330000,3.360795,99.854110,15.650000,20969.900000
2024-05-31,5.330000,3.244279,,12.920000,21032.000000
2024-06-30,5.330000,2.970258,,12.440000,21094.600000
2024-07-31,5.330000,2.941476,,16.360001,21122.600000
2024-08-31,5.330000,2.607144,,15.000000,21204.700000
2024-09-30,5.130000,2.426483,,16.730000,21289.000000
2024-10-31,4.830000,2.578844,,23.160000,21337.000000
2024-11-30,4.640000,2.719472,,13.510000,21440.000000
2024-12-31,4.480000,2.870691,,17.400000,21458.400000
